Category,Metric,Value,Eval_Root
land_scape,avg CLIP similarity,0.966796875,../L1_L2_experiments/drag_diffusion_res_80_0.7_0.01_3_L1m=True_L1p=True_L1mask=False
building_city_view,avg CLIP similarity,0.94775390625,../L1_L2_experiments/drag_diffusion_res_80_0.7_0.01_3_L1m=True_L1p=True_L1mask=False
building_countryside_view,avg CLIP similarity,0.958984375,../L1_L2_experiments/drag_diffusion_res_80_0.7_0.01_3_L1m=True_L1p=True_L1mask=False
animals,avg CLIP similarity,0.96875,../L1_L2_experiments/drag_diffusion_res_80_0.7_0.01_3_L1m=True_L1p=True_L1mask=False
human_head,avg CLIP similarity,0.96484375,../L1_L2_experiments/drag_diffusion_res_80_0.7_0.01_3_L1m=True_L1p=True_L1mask=False
human_upper_body,avg CLIP similarity,0.96875,../L1_L2_experiments/drag_diffusion_res_80_0.7_0.01_3_L1m=True_L1p=True_L1mask=False
human_full_body,avg CLIP similarity,0.9697265625,../L1_L2_experiments/drag_diffusion_res_80_0.7_0.01_3_L1m=True_L1p=True_L1mask=False
interior_design,avg CLIP similarity,0.974609375,../L1_L2_experiments/drag_diffusion_res_80_0.7_0.01_3_L1m=True_L1p=True_L1mask=False
other_objects,avg CLIP similarity,0.9677734375,../L1_L2_experiments/drag_diffusion_res_80_0.7_0.01_3_L1m=True_L1p=True_L1mask=False
art_work,avg MD,29.971397832382557,../L1_L2_experiments/drag_diffusion_res_80_0.7_0.01_3_L1m=True_L1p=True_L1mask=False
land_scape,avg MD,32.7020353448802,../L1_L2_experiments/drag_diffusion_res_80_0.7_0.01_3_L1m=True_L1p=True_L1mask=False
building_city_view,avg MD,43.20462279203461,../L1_L2_experiments/drag_diffusion_res_80_0.7_0.01_3_L1m=True_L1p=True_L1mask=False
building_countryside_view,avg MD,43.352977888924734,../L1_L2_experiments/drag_diffusion_res_80_0.7_0.01_3_L1m=True_L1p=True_L1mask=False
animals,avg MD,41.72322626411915,../L1_L2_experiments/drag_diffusion_res_80_0.7_0.01_3_L1m=True_L1p=True_L1mask=False
human_head,avg MD,26.888842021717746,../L1_L2_experiments/drag_diffusion_res_80_0.7_0.01_3_L1m=True_L1p=True_L1mask=False
human_upper_body,avg MD,31.955175558725994,../L1_L2_experiments/drag_diffusion_res_80_0.7_0.01_3_L1m=True_L1p=True_L1mask=False
human_full_body,avg MD,22.23715654015541,../L1_L2_experiments/drag_diffusion_res_80_0.7_0.01_3_L1m=True_L1p=True_L1mask=False
interior_design,avg MD,32.28194328069687,../L1_L2_experiments/drag_diffusion_res_80_0.7_0.01_3_L1m=True_L1p=True_L1mask=False
other_objects,avg MD,42.18981733145537,../L1_L2_experiments/drag_diffusion_res_80_0.7_0.01_3_L1m=True_L1p=True_L1mask=False
art_work,avg LPIPS,0.8855035749131015,../L1_L2_experiments/drag_diffusion_res_80_0.7_0.01_3_L1m=True_L1p=True_L1mask=True
land_scape,avg LPIPS,0.874633769758723,../L1_L2_experiments/drag_diffusion_res_80_0.7_0.01_3_L1m=True_L1p=True_L1mask=True
building_city_view,avg LPIPS,0.8893420854139895,../L1_L2_experiments/drag_diffusion_res_80_0.7_0.01_3_L1m=True_L1p=True_L1mask=True
building_countryside_view,avg LPIPS,0.8837049674581398,../L1_L2_experiments/drag_diffusion_res_80_0.7_0.01_3_L1m=True_L1p=True_L1mask=True
animals,avg LPIPS,0.8676781316287816,../L1_L2_experiments/drag_diffusion_res_80_0.7_0.01_3_L1m=True_L1p=True_L1mask=True
human_head,avg LPIPS,0.8378937922418117,../L1_L2_experiments/drag_diffusion_res_80_0.7_0.01_3_L1m=True_L1p=True_L1mask=True
human_upper_body,avg LPIPS,0.8863098602741957,../L1_L2_experiments/drag_diffusion_res_80_0.7_0.01_3_L1m=True_L1p=True_L1mask=True
human_full_body,avg LPIPS,0.9610837984830141,../L1_L2_experiments/drag_diffusion_res_80_0.7_0.01_3_L1m=True_L1p=True_L1mask=True
interior_design,avg LPIPS,0.8982969792559743,../L1_L2_experiments/drag_diffusion_res_80_0.7_0.01_3_L1m=True_L1p=True_L1mask=True
other_objects,avg LPIPS,0.8709356376102992,../L1_L2_experiments/drag_diffusion_res_80_0.7_0.01_3_L1m=True_L1p=True_L1mask=True
art_work,avg CLIP similarity,0.97412109375,../L1_L2_experiments/drag_diffusion_res_80_0.7_0.01_3_L1m=True_L1p=True_L1mask=True
land_scape,avg CLIP similarity,0.97802734375,../L1_L2_experiments/drag_diffusion_res_80_0.7_0.01_3_L1m=True_L1p=True_L1mask=True
building_city_view,avg CLIP similarity,0.97314453125,../L1_L2_experiments/drag_diffusion_res_80_0.7_0.01_3_L1m=True_L1p=True_L1mask=True
building_countryside_view,avg CLIP similarity,0.97705078125,../L1_L2_experiments/drag_diffusion_res_80_0.7_0.01_3_L1m=True_L1p=True_L1mask=True
animals,avg CLIP similarity,0.9794921875,../L1_L2_experiments/drag_diffusion_res_80_0.7_0.01_3_L1m=True_L1p=True_L1mask=True
human_head,avg CLIP similarity,0.97216796875,../L1_L2_experiments/drag_diffusion_res_80_0.7_0.01_3_L1m=True_L1p=True_L1mask=True
human_upper_body,avg CLIP similarity,0.97412109375,../L1_L2_experiments/drag_diffusion_res_80_0.7_0.01_3_L1m=True_L1p=True_L1mask=True
human_full_body,avg CLIP similarity,0.98583984375,../L1_L2_experiments/drag_diffusion_res_80_0.7_0.01_3_L1m=True_L1p=True_L1mask=True
interior_design,avg CLIP similarity,0.98291015625,../L1_L2_experiments/drag_diffusion_res_80_0.7_0.01_3_L1m=True_L1p=True_L1mask=True
other_objects,avg CLIP similarity,0.98095703125,../L1_L2_experiments/drag_diffusion_res_80_0.7_0.01_3_L1m=True_L1p=True_L1mask=True
art_work,avg MD,30.297706792520923,../L1_L2_experiments/drag_diffusion_res_80_0.7_0.01_3_L1m=True_L1p=True_L1mask=True
land_scape,avg MD,39.531831889316955,../L1_L2_experiments/drag_diffusion_res_80_0.7_0.01_3_L1m=True_L1p=True_L1mask=True
building_city_view,avg MD,33.133202041067726,../L1_L2_experiments/drag_diffusion_res_80_0.7_0.01_3_L1m=True_L1p=True_L1mask=True
building_countryside_view,avg MD,51.599573592750396,../L1_L2_experiments/drag_diffusion_res_80_0.7_0.01_3_L1m=True_L1p=True_L1mask=True
animals,avg MD,32.03948508948088,../L1_L2_experiments/drag_diffusion_res_80_0.7_0.01_3_L1m=True_L1p=True_L1mask=True
human_head,avg MD,32.70519267811495,../L1_L2_experiments/drag_diffusion_res_80_0.7_0.01_3_L1m=True_L1p=True_L1mask=True
human_upper_body,avg MD,32.80495548248291,../L1_L2_experiments/drag_diffusion_res_80_0.7_0.01_3_L1m=True_L1p=True_L1mask=True
human_full_body,avg MD,26.090867668390274,../L1_L2_experiments/drag_diffusion_res_80_0.7_0.01_3_L1m=True_L1p=True_L1mask=True
interior_design,avg MD,21.904810569286347,../L1_L2_experiments/drag_diffusion_res_80_0.7_0.01_3_L1m=True_L1p=True_L1mask=True
other_objects,avg MD,39.47566714110198,../L1_L2_experiments/drag_diffusion_res_80_0.7_0.01_3_L1m=True_L1p=True_L1mask=True
